Industry,investment_type,SubIndustry,ProductServiceType,name,Unicorn,org_name,cb_url,rank,legal_name,roles,homepage_url,country_code,region,city,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,founded_on,last_funding_on,closed_on,employee_count,logo_url,alias1,primary_role,num_exits,funding_round_uuid,org_country_code,announced_on,raised_amount_usd,post_money_valuation_usd,post_money_valuation,investor_count,investor_name,investor_type,is_lead_investor,investor_country_code,investor_types,investor_investment_count,investor_total_funding_usd,is_lead_investor_name,featured_job_title,acquirer_name,acquisition_type,acquired_on,stock_exchange_symbol,stock_symbol,went_public_on,valuation_price_usd,money_raised_usd,funding_year,founded_year,acquired_year,went_public_year,country_name(CHN),country_name,country_name_full,Post Money Value
儲能,Series A,"電池循環經濟,儲能系統整合","電池回收再利用,設備供應安裝",Boston Power,,Boston Power,https://www.crunchbase.com/organization/bostonpower,227611.0,Boston-Power Inc.,company,http://www.boston-power.com,USA,Massachusetts,Westborough,operating,Boston Power manufactures portable power products such as application-specific rechargeable lithium-ion batteries.,"Battery,Electronics,Manufacturing,Mobile Devices","Consumer Electronics,Energy,Hardware,Manufacturing,Mobile",9.0,370600000.0,2005-01-01,2015-02-02,,,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182931/4ba5580c6bed6190aea6df0f78b71f31.jpg,,company,,86ff7242-4ce4-e11a-1a8f-97db9689f022,USA,2006-11-06,8000000.0,,,2.0,Venrock,organization,,USA,venture_capital,833.0,,,CEO,,,,,,,,,2006.0,2005.0,,,美國,USA,United States of America,
儲能,Debt,"電化學儲能,電池循環經濟,儲能系統整合","鈉離子電池,固態電池,鋰硫電池,電池回收再利用,設備供應安裝,系統整合,儲能專案開發與營運商",Verkor,,Verkor,https://www.crunchbase.com/organization/verkor,18467.0,Verkor SAS,company,https://www.verkor.com,FRA,Rhone-Alpes,Grenoble,operating,Verkor manufactures low-carbon batteries to target the electric mobility markets.,"Battery,Electronics,Industrial,Manufacturing","Consumer Electronics,Energy,Hardware,Manufacturing",8.0,4041351633.0,2020-01-01,2024-10-30,,,https://images.crunchbase.com/image/upload/t_cb-default-original/rzlyju1iaznckr8yvwou,,company,,f888d4da-fccf-456c-942b-7d478139800a,FRA,2024-05-24,1410954652.0,,,18.0,Bpifrance,organization,,FRA,"government_office,investment_bank",1562.0,,,Co-Founder and CEO,,,,,,,,,2024.0,2020.0,,,法國,France,France,$1B
儲能,PE,儲能系統整合,"系統整合,儲能專案開發與營運商",Flexion Energy,,Flexion Energy,https://www.crunchbase.com/organization/flexion-energy,55081.0,,company,https://flexion.energy/,GBR,England,London,operating,"Flexion Energy is a modern utility and energy storage infrastructure specialist, which is bridging the gap between development and finance.","Energy,Energy Storage",Energy,1.0,206995910.0,2014-01-01,2021-07-07,,,https://images.crunchbase.com/image/upload/t_cb-default-original/qwhvafhlj4qhfomyg5ud,,company,,b9960768-2404-46fe-b74f-3ef62ecc3007,GBR,2021-07-07,206995910.0,,,1.0,GLIL Infrastructure,organization,,GBR,private_equity_firm,2.0,,GLIL Infrastructure,,,,,,,,,,2021.0,2014.0,,,英國,UK,United Kingdom of Great Britain and Northern Ireland14,
儲能,Post IPO,化學儲能,"電轉氫,合成甲烷,綠氨",Cloudberry Clean Energy,,Cloudberry Clean Energy,https://www.crunchbase.com/organization/cloudberry-clean-energy,23146.0,CLOUDBERRY CLEAN ENERGY AS,company,http://www.cloudberry.no,NOR,Oslo,Oslo,ipo,Cloudberry Clean Energy engages in the development of hydropower plants and wind farms.,"Energy,Hydroelectric,Renewable Energy,Wind Energy","Energy,Natural Resources,Sustainability",2.0,75346679.0,2015-01-01,2025-05-28,,,https://images.crunchbase.com/image/upload/t_cb-default-original/twdkz0kwtghazjgnghdk,,company,,fe4b4a6f-9dc8-4071-af09-8650d246e036,NOR,2025-05-28,76152.0,,,7.0,Petter W. Borg,person,,,angel,1.0,,,Founder and CEO,,,,ose,CLOUD,2021-06-22,,,2025.0,2015.0,,2021.0,挪威,Norway,Norway,
儲能,Series A,"熱能儲能,儲能系統整合","顯熱儲能,系統整合,儲能專案開發與營運商",Caldera,,Caldera,https://www.crunchbase.com/organization/caldera-0039,40704.0,Caldera Heat Batteries Limited,company,https://www.caldera.co.uk/,GBR,Hampshire,Fareham,operating,"Caldera develops Warmstone Heat Battery, a heat storage to lower carbon usage.","Battery,Energy,Manufacturing,Renewable Energy","Energy,Manufacturing,Sustainability",3.0,18131310.0,2017-01-01,2025-03-31,,,https://images.crunchbase.com/image/upload/t_cb-default-original/gl56elxpkl5oyxwtxkbc,,company,,14a81847-85ad-43f7-ae28-1594df046812,GBR,2025-03-31,12909256.0,,,1.0,GEA Group,organization,,DEU,,1.0,,GEA Group,,,,,,,,,,2025.0,2017.0,,,英國,UK,United Kingdom of Great Britain and Northern Ireland14,
儲能,Others,電池循環經濟,"電池回收再利用,二次生命電池",Chargeup,,Chargeup,https://www.crunchbase.com/organization/chargeup,49621.0,E-Chargeup Solutions Pvt Ltd,company,https://echargeup.com,IND,Delhi,New Delhi,operating,Chargeup provides a battery swapping network eliminating the cost problem and inconvenience of long charging hours of electric vehicles.,"Battery,Charging Infrastructure,Electric Vehicle,Renewable Energy","Energy,Sustainability,Transportation",6.0,9825924.0,2019-01-01,2024-08-31,,,https://images.crunchbase.com/image/upload/t_cb-default-original/blwdjx1zpeim9juoi1jg,Echargeup Solutions,company,,39b226cb-6723-4d44-85ef-73fee72e5d39,IND,2024-08-31,121594.0,,,1.0,Upside Investech Networks Private Limited,organization,,IND,,12.0,,Upside Investech Networks Private Limited,Chief Executive Officer Co-Founder,,,,,,,,,2024.0,2019.0,,,印度,India,India,
儲能,Series B,化學儲能,"電轉氫,合成甲烷,綠氨",Electric Hydrogen,,Electric Hydrogen,https://www.crunchbase.com/organization/electric-hydrogen-co,6848.0,Electric Hydrogen Co.,company,https://www.eh2.com,USA,Massachusetts,Natick,operating,"Electric Hydrogen develops electrolyzer technologies to enable abundant, low-cost, and clean hydrogen to replace fossil fuels.","Clean Energy,CleanTech,Energy,Industrial","Energy,Manufacturing,Sustainability",7.0,798300000.0,2020-01-01,2024-05-09,,,https://images.crunchbase.com/image/upload/t_cb-default-original/wqp4qv797f8d60bydibz,Electric Hydrogen Co.,company,,b4d74edf-90df-494f-9a82-feac55b3b3e1,USA,2022-06-22,198000000.0,,,14.0,Rio Tinto,organization,,AUS,corporate_venture_capital,39.0,30744039.0,Fifth Wall,CEO and Co-Founder,,,,,,,,,2022.0,2020.0,,,美國,USA,United States of America,$1B
儲能,Post IPO,"電化學儲能,儲能系統整合","鋰離子電池,鈉離子電池,設備供應安裝",CNGR Advanced Material,,CNGR Advanced Material,https://www.crunchbase.com/organization/cngr-advanced-material-co-ltd,104689.0,CNGR Advanced Material Co Ltd,company,http://www.cngrgf.com.cn,CHN,Guizhou,Tongren,ipo,"CNGR Advanced Material is engaged in the research, development, production, and sale of lithium batteries.","Battery,Consumer Goods,Manufacturing","Consumer Goods,Energy,Manufacturing",1.0,215449140.0,2014-09-01,2022-12-26,,,https://images.crunchbase.com/image/upload/t_cb-default-original/lsf3t7dryyjhiatcaleq,Zhongwei New Materials Co Ltd,company,,882c1f2b-d2f1-43ac-94fd-03f1f90d96dd,CHN,2022-12-26,215449140.0,1508143978.0,10500000000.0,3.0,Bank of Communications,organization,,CHN,investment_bank,23.0,16997046014.0,,Founder and Chairman,,,,szse,300919,2020-12-23,,,2022.0,2014.0,,2020.0,中國,China,Peoples Republic of China2,
儲能,Series Unknown,"熱能儲能,儲能系統整合","顯熱儲能,熱化學儲能,設備供應安裝",FHE Group,,FHE Group,https://www.crunchbase.com/organization/fhe-group,64937.0,Fhe France,company,https://fhe-france.com/,FRA,Languedoc-Roussillon,Perpignan,operating,"We are a main actor in the entire energy chain, from self-consumption to storage and through Smart home.","Energy,Energy Efficiency,Energy Management,Energy Storage,Renewable Energy,Smart Home","Consumer Electronics,Energy,Real Estate,Sustainability",1.0,10660390.0,2010-05-15,2023-09-21,,,https://images.crunchbase.com/image/upload/t_cb-default-original/ajdmz3lpwmxwel2s4ast,Fhe France,company,,500d9c39-9df3-490d-bf3c-185a54b2e132,FRA,2023-09-21,10660390.0,,,2.0,BNP Paribas Développement,organization,,FRA,private_equity_firm,133.0,,,,,,,,,,,,2023.0,2010.0,,,法國,France,France,
儲能,Series Unknown,電池循環經濟,"電池回收再利用,二次生命電池",AgeVolt,,AgeVolt,https://www.crunchbase.com/organization/agevolt,108265.0,AgeVolt Slovakia s. r. o.,company,https://www.agevolt.com/,SVK,Bratislava,Bratislava,operating,AgeVolt enables chargers to be installed using existing electrical connection over building new connections.,Energy Storage,Energy,1.0,716184.0,2019-01-01,2021-06-22,,,https://images.crunchbase.com/image/upload/t_cb-default-original/86af195dcf6c4ddabe8d8d7d5fa02eb7,,company,,8683420c-1de9-43b8-a3aa-5cf88bda9ff2,SVK,2021-06-22,716184.0,,,3.0,Venture to Future Fund,organization,,SVK,venture_capital,22.0,,InoBat,,,,,,,,,,2021.0,2019.0,,,斯洛伐克,Slovakia,Slovakia,
